id,지역,성별,월령,실시,mg1_1,mg1_2,mg1_3,mg1_4,mg1_5,mg1_6,mg1_7,mg1_8,mg1_9,mg1_10,mg1_11,mg1_12,mg1_13,mg1_14,mg2_1,mg2_2,mg2_3,mg2_4,mg2_5,mg2_6,mg2_7,mg3_1,mg3_2,mg3_3,mg3_4,mg3_5,mg3_6,mg3_7,mg3_8,mg3_9,mg3_10,mg3_11,mg3_12,mg3_13,mg3_14,mg3_15,mg3_16,mg3_17,mg3_18,mg3_19,mg3_20,mg3_21,mg4_1,mg4_2,mg4_3,mg4_4,mg4_5,mg4_6,mg4_7,mg4_8,mg4_9,mg4_10,mg4_11,mg4_12,mg4_13,mg4_14,mg4_15,mg4_16,mg4_17,mg4_18,mg4_19,mg4_20,mg5_1,mg5_2,mg5_3,mg5_4,mg5_5,mg5_6,mg5_7,mg5_8,mg5_9,mg5_10,mg6_1,mg6_2,mg6_3,mg6_4,mg6_5,mg6_6,mg6_7,mg6_8,mg6_9,mg6_10,mg7_1,mg7_2,mg7_3,mg7_4,mg7_5,mg7_6,mg7_7,mg7_8,mg7_9,mg7_10,mg7_11,mg7_12,mg7_13,mg7_14,mg7_15,mg7_16,mg7_17,mg7_18,mg7_19,mg7_20,mg7_21,mg7_22,mg7_23,mg7_24,mg7_25,mg7_26,mg7_27,mg7_28,mg7_29,mg7_30,mg7_31,mg7_32,mg7_33,mg7_34,mg7_35,mg8_1,mg8_2,mg8_3,mg8_4,mg8_5,mg8_6,mg8_7,mg8_8,mg8_9,mg8_10,mg8_11,mg8_12,mg8_13,mg8_14,mg8_15,mg8_16,mg9_1,mg9_2,mg9_3,mg9_4,mg9_5,mg9_6,mg9_7,mg9_8,mg9_9,mg10_1,mg10_2,mg10_3,mg10_4,mg10_5,mg10_6,mg11_1,mg11_2,mg11_3,mg11_4,mg11_5,mg11_6,mg11_7,mg11_8,mg11_9,mg11_10,mg11_11,mg11_12,mg12_1,mg12_2,mg12_3,mg12_4,mg12_5,mg12_6,mg12_7,mg12_8,mg12_9,mg12_10,mg12_11,mg12_12,mg12_13,mg12_14,mg12_15,mg12_16,mg12_17,mg13_1,mg13_2,mg13_3,mg13_4,mg13_5,mg13_6,mg13_7,mg13_8,mg13_9,mg13_10,mg13_11,mg13_12,mg13_13,mg13_14,mg13_15,mg13_16,mg13_17,mg13_18,mg13_19,mg14_1,mg14_2,mg14_3,mg14_4,mg14_5,mg14_6,mg14_7,mg15_1,mg15_2,mg15_3,mg15_4,mg15_5,mg15_6,mg16_1,mg16_2,mg16_3,mg16_4,mg16_5,mg16_6,mg16_7,mg16_8,mg16_9,mg16_10,mg16_11,mg16_12,mg16_13,mg16_14,mg16_15,mg16_16,mg16_17,mg16_18,mg16_19,mg16_20,mg16_21,mg16_22,mg16_23,mg16_24,mg16_25,mg16_26,mg16_27,mg16_28,mg16_29,mg16_30,mg16_31,mg16_32,mg16_33,mg16_34,mg16_35,mg16_36,mg16_37,mg16_38,mg16_39,mg16_40,mg16_41,mg16_42,mg16_43,mg17_1,mg17_2,mg17_3,mg17_4,mg17_5,mg17_6,mg17_7,mg17_8,mg17_9,mg17_10,mg17_11,mg17_12,mg17_13,mg17_14,mg17_15,mg17_16,mg17_17,mg17_18,mg17_19,mg17_20,mg18_1,mg18_2,mg18_3,mg18_4,mg18_5,mg18_6,mg18_7,mg18_8,mg18_9,mg18_10,mg18_11,mg18_12,mga1_1,mga1_2,mga1_3,mga1_4,mga1_5,mga1_6,mga1_7,mga2_1,mga2_2,mga2_3,mga2_4,mga2_5,mga2_6,mga2_7,mga3_1,mga3_2,mga3_3,mga3_4,mga3_5,mga3_6,mga3_7,mga4_1,mga4_2,mga4_3,mga4_4,mga4_5,mga4_6,mga4_7,mga5_1,mga5_2,mga5_3,mga5_4,mga5_5,mga5_6,mga5_7,mg1exp,mga1und,mg2exp,mg2und,mg3exp,mg3und,mg4exp,mg4und,mg5exp,mg5und,mg6exp,mg6und,mg7exp,mg7und,mg8exp,mg8und,mg9exp,mg9und,mg10exp,mg10und,mg11exp,mg11und,mg12exp,mg12und,mg13exp,mg13und,mg14exp,mg14und,mg15exp,mg15und,mg16exp,mg16und,mg17exp,mg17und,mg18exp,mg18und,mg_exp,mg_und,월령집단
cf1104,c,f,11,2,0,0,1,1,1,1,1,0,1,2,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,1,1,0,1,1,2,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,2,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,2,9,9,9,9,9,9,2,1,9,0,3,0,10,0,8,0,7,0,3,1,1,0,6,0,4,0,3,0,0,3,5,1,11,0,0,0,0,0,0,0,7,0,0,6,77,1
cf1203,c,f,12,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,2,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,9,2,0,2,1,0,0,9,2,0,0,0,0,0,9,1,0,0,0,0,0,9,2,0,0,0,0,0,9,0,1,0,1,0,1,0,1,0,1,0,5,0,5,0,5,0,4,0,1,0,0,4,0,0,5,0,1,0,0,1,3,0,4,0,0,5,38,2
cf1302,c,f,13,2,0,0,0,0,0,2,2,0,0,0,2,0,2,2,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,0,0,0,2,0,0,2,1,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,2,2,0,2,0,0,0,1,0,0,0,2,1,0,0,0,0,2,2,2,0,1,0,0,0,2,0,1,0,2,0,2,2,2,0,2,0,2,1,0,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,0,0,2,2,0,0,2,2,2,0,0,0,0,2,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,1,0,1,1,2,0,0,2,0,0,1,0,2,0,2,0,0,0,1,0,2,0,2,2,2,0,0,2,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,2,2,0,2,1,1,9,2,1,2,1,1,0,9,2,1,0,1,0,0,9,2,1,0,1,0,0,9,2,2,0,1,0,0,9,5,5,1,2,3,5,2,2,4,5,6,7,8,10,5,7,5,6,3,3,1,1,5,5,14,14,2,3,0,1,12,19,6,6,0,3,82,104,2
cf1303,c,f,13,1,1,0,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,0,1,1,0,2,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,2,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,2,1,1,1,0,1,0,1,2,0,2,1,0,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,2,1,1,1,2,2,2,1,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,0,9,2,2,2,2,2,0,9,2,1,2,1,1,0,9,2,2,2,2,2,0,9,2,2,2,1,0,0,9,5,13,0,5,3,19,0,16,0,9,0,8,4,23,0,12,0,9,0,4,0,4,7,13,17,2,0,5,0,4,0,39,0,13,0,12,36,210,2
cf1304,c,f,13,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,2,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,9,9,9,9,2,9,2,9,9,9,9,9,1,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,2,0,2,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,4,2,7,0,0,0,0,0,0,0,0,0,0,7,18,2
cf1403,c,f,14,1,2,0,2,0,0,2,0,0,2,2,2,0,2,0,0,0,0,0,0,2,0,2,0,2,1,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,2,2,2,1,0,1,1,0,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,2,0,1,0,9,0,1,2,0,0,0,9,0,0,1,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,2,7,6,1,1,6,7,0,9,0,8,0,8,1,8,0,10,0,7,0,4,0,1,4,9,2,18,1,2,0,0,0,24,0,10,0,7,22,139,2
cf1503,c,f,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,3
cf1504,c,f,15,2,1,0,1,1,1,2,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,2,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,2,0,0,2,0,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,0,1,0,2,1,0,1,0,1,0,0,0,0,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,10,0,3,1,7,0,5,0,7,0,9,0,14,0,8,0,8,0,3,1,9,0,8,11,19,0,0,0,0,8,32,3,10,0,0,25,152,3
cf1601,c,f,16,1,1,0,1,1,0,2,1,2,1,2,1,0,2,1,1,0,1,0,0,1,0,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,1,1,0,1,1,1,1,0,1,1,1,0,2,2,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,2,2,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,2,0,1,1,0,0,0,1,0,0,2,0,2,2,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,2,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,2,2,1,0,1,2,0,0,1,1,2,1,1,1,2,1,1,0,2,2,1,1,1,1,2,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,2,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,2,1,1,1,0,0,0,1,2,1,2,1,1,0,0,2,0,0,2,0,2,2,2,2,1,0,9,2,1,2,2,1,0,9,2,1,2,1,1,0,9,2,2,2,2,0,0,9,9,9,9,9,9,9,9,4,11,0,3,2,18,2,13,2,7,0,6,4,17,1,12,0,7,0,3,0,3,5,9,5,18,0,5,0,2,1,25,1,9,4,6,31,174,3
cf1602,c,f,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,2,0,0,2,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,2,9,2,1,0,0,9,9,9,1,9,9,9,9,2,1,1,9,0,0,9,2,9,9,9,0,0,9,9,9,2,9,9,9,9,0,0,0,0,0,0,0,2,0,5,0,3,2,2,0,2,0,1,0,4,0,2,2,1,9,0,0,0,1,0,0,10,0,11,0,8,14,51,3
cf1702,c,f,17,1,0,0,0,0,2,2,0,2,1,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,2,0,1,1,0,0,0,1,2,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,0,1,0,0,0,1,2,1,2,1,0,1,0,0,0,1,2,0,2,1,0,1,1,2,2,2,0,0,2,0,1,2,1,1,1,0,0,1,0,1,1,0,1,0,2,1,1,1,1,1,2,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,2,0,0,2,2,2,0,1,0,2,1,0,1,2,2,1,1,1,2,2,1,2,2,2,2,1,1,1,2,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,2,0,1,2,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,2,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,2,0,1,1,0,0,1,2,2,1,2,1,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0,2,2,2,2,1,0,9,1,0,1,2,1,0,9,2,0,2,2,0,0,9,1,1,2,2,1,0,9,1,1,2,2,0,0,9,4,5,0,1,2,5,2,8,0,9,1,9,9,21,2,13,0,7,0,2,0,2,6,9,9,19,0,4,0,1,3,29,4,13,2,0,44,157,3
cm0802,c,m,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,2,9,9,9,9,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,1,0,0,2,8,1
cm0803,c,m,8,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,9,1,2,9,9,9,9,9,2,1,9,9,9,2,9,9,2,9,9,9,1,9,9,9,1,9,9,1,0,1,2,0,0,9,0,8,0,5,0,11,0,5,0,4,0,2,0,15,0,5,0,5,0,3,0,5,3,1,0,14,0,0,0,0,0,9,0,8,0,6,3,106,1
cm0804,c,m,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,9,1,1,1,0,0,0,9,1,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,14,0,0,0,18,0,0,0,2,0,7,0,2,0,0,0,0,0,0,0,2,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,70,1
cm0805,c,m,8,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,2,9,9,9,9,9,9,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
cm0902,c,m,9,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,9,0,0,2,2,0,0,9,2,2,1,0,0,0,9,1,0,0,0,0,0,9,0,0,0,0,0,0,2,0,2,0,1,0,0,0,2,0,4,0,4,0,9,0,4,0,5,0,2,0,0,1,7,0,10,0,1,0,0,0,10,0,1,0,0,1,62,1
